year,congress,party,district,statenam,name,ngirls,nboys,totchi,anygirls,propgirls,rgroup,statabb,statalph,region,repub,srvlng,female,white,bday,age,demvote,medinc,perf,perw,perhs,percol,perur,alabort,moreserv,moredef,morecrimesp,protgay,dr1per,dr2per,dr3per,dr4per,dr5per,aauw,rtl,nowtot,now1,now2,now3,now4,now5,now6,now7,now8,now9,now10,now11,now12,now13,now14,now15,now16,now17,now18,now19,now20
1997-1998,105,1,16,MICHIGA,"DINGELL, JOHN DAVID, JR.",2,2,4,1,0.5,2,MI,23,3,0,42,0,1,7/8/26,70,0.540000021,40922,0.523394883,0.965932012,0.74000001,0.128999993,0.867845416,0.388261855,0.336182326,0.233830839,0.648351669,0.615686297,0.529999971,0.230000004,0.01,0.059999999,0.189999998,63,29,60,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
1997-1998,105,1,32,CALIFOR,"DIXON, JULIAN CAREY",0,1,1,0,0,1,CA,5,9,0,19,0,0,8/8/34,62,0.810000002,31990,0.530105412,0.321808606,0.699000001,0.232999995,1,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,100,5,85,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
1997-1998,105,1,10,TEXAS,"DOGGETT, LLOYD",2,0,2,1,1,1,TX,44,7,0,3,0,1,10/6/46,50,0.540000021,35723,0.50337559,0.72922045,0.831999958,0.344999999,0.920858979,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,100,5,70,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1
1997-1998,105,1,20,CALIFOR,"DOOLEY, CALVIN",2,0,2,1,1,1,CA,5,9,0,7,0,1,1/11/54,43,0.519999981,22472,0.477419972,0.486915678,0.479000002,0.064000003,0.727800608,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,100,5,80,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
1997-1998,105,2,4,CALIFOR,"DOOLITTLE, JOHN T.",1,1,2,1,0.5,3,CA,5,9,1,7,0,1,10/30/50,46,0.379999995,40604,0.492956787,0.926745057,0.851000011,0.21100001,0.615629911,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,1,18,PENNSYL,"DOYLE, MICHAEL F.",1,3,4,1,0.25,2,PA,39,2,0,3,0,1,8/5/53,43,0.519999981,35343,0.544390023,0.912388384,0.800000012,0.209999993,0.979799628,0.423664123,0.419689119,0.172131151,0.475655437,0.673076928,0.479999989,0.270000011,0.01,0.059999999,0.180000007,50,89,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
1997-1998,105,2,28,CALIFOR,"DREIER, DAVID",0,0,0,0,0,3,CA,5,9,1,17,0,1,7/5/52,44,0.449999988,49369,0.522332549,0.709238708,0.824999988,0.256000012,0.997380137,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1997-1998,105,2,2,TENNESS,"DUNCAN, JOHN J., JR.",2,2,4,1,0.5,1,TN,43,6,1,9,0,1,7/21/47,49,0.419999987,30917,0.530146956,0.922770262,0.699999988,0.192999989,0.639918864,0.32661289,0.35164836,0.247706428,0.634920657,0.506756783,0.75999999,0.059999999,0,0.029999999,0.140000001,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,2,8,WASHING,"DUNN, JENNIFER",0,2,2,0,0,1,WA,48,9,1,5,1,1,7/29/41,55,0.469999999,47389,0.50643605,0.920130134,0.886999965,0.289999992,0.793533683,0.591397822,0.269230783,0.205555558,0.529100537,0.707964599,0.389999986,0.200000003,0.039999999,0.050000001,0.310000002,0,80,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,1,11,TEXAS,"EDWARDS, CHET",0,1,1,0,0,1,TX,44,7,0,7,0,1,11/24/51,45,0.419999987,26698,0.501939416,0.760475218,0.726000011,0.148000002,0.713775814,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,100,20,85,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1997-1998,105,2,3,MICHIGA,"EHLERS, VERNON J.",2,2,4,1,0.5,1,MI,23,3,1,3,0,1,2/6/43,53,0.389999986,37093,0.519276202,0.895527363,0.799000025,0.191,0.754916012,0.388261855,0.336182326,0.233830839,0.648351669,0.615686297,0.529999971,0.230000004,0.01,0.059999999,0.189999998,25,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1997-1998,105,2,2,MARYLAN,"EHRLICH, ROBERT L., JR.",0,0,0,0,0,1,MD,21,5,1,3,0,1,11/25/47,49,0.400000006,45303,0.519793272,0.916872323,0.780999959,0.22299999,0.823801219,0.559139788,0.40397352,0.17159763,0.628272235,0.742574275,0.5,0.219999999,0.029999999,0.07,0.180000007,25,55,25,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1997-1998,105,2,8,MISSOUR,"EMERSON, JOANN",4,0,4,1,1,1,MO,26,4,1,1,1,1,9/16/50,46,0.449999988,22406,0.528444648,0.947616518,0.589999974,0.094999999,0.372604847,0.436241597,0.267175585,0.234482765,0.609271526,0.646341443,0.560000002,0.189999998,0.02,0.02,0.209999993,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,1,17,NEW YOR,"ENGEL, ELIOT L.",1,2,3,1,0.333333343,4,NY,33,2,0,9,0,1,2/18/47,49,0.850000024,32400,0.562876165,0.402702212,0.666000009,0.171000004,0.996703625,0.568807364,0.472647697,0.170923382,0.588550985,0.705128193,0.300000012,0.379999995,0,0.119999997,0.189999998,100,5,95,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,2,21,PENNSYL,"ENGLISH, PHILIP S.",0,0,0,0,0,2,PA,39,2,1,3,0,1,6/20/56,40,0.49000001,31144,0.526530504,0.952493966,0.764999986,0.145999998,0.562802911,0.423664123,0.419689119,0.172131151,0.475655437,0.673076928,0.479999989,0.270000011,0.01,0.059999999,0.180000007,38,100,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
1997-1998,105,2,1,NEVADA,"ENSIGN, JOHN E.",1,1,2,1,0.5,1,NV,29,8,1,3,0,1,3/25/58,38,0.50999999,34114,0.496326774,0.795308173,0.759000003,0.133000001,0.998647153,NA,NA,NA,NA,NA,0.409999996,0.239999995,0.090000004,0.039999999,0.219999999,25,100,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1997-1998,105,1,14,CALIFOR,"ESHOO, ANNA G.",1,1,2,1,0.5,2,CA,5,9,0,5,1,1,12/13/42,54,0.579999983,59492,0.496872157,0.780703545,0.879999995,0.442000002,0.984651506,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,100,5,90,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,1,2,NORTH C,"ETHERIDGE, BOBBY R.",1,2,3,1,0.333333343,1,NC,34,5,0,1,0,1,8/7/41,55,0.419999987,32469,0.528623581,0.762264252,0.704999983,0.181000009,0.417730242,0.270491809,0.445945948,0.20408164,0.75,0.662500024,0.689999998,0.100000001,0.01,0.050000001,0.150000006,88,40,60,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1
1997-1998,105,1,17,ILLINOI,"EVANS, LANE",0,0,0,0,0,2,IL,14,3,0,15,0,1,8/4/51,45,0.50999999,30838,0.525978267,0.946501493,0.763000011,0.133000001,0.617446125,0.445736438,0.427884609,0.200787395,0.661596954,0.678571403,0.460000008,0.289999992,0,0.059999999,0.189999998,100,5,90,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
1997-1998,105,2,2,ALABAMA,"EVERETT, TERRY",0,0,0,0,0,1,AL,1,6,1,5,0,1,2/15/37,59,0.370000005,29492,0.528880954,0.747780323,0.681999981,0.167000011,0.581046999,0.297071129,0.5,0.314009666,0.54838711,0.53435117,0.689999998,0.129999995,0.02,0.039999999,0.119999997,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,2,15,ILLINOI,"EWING, THOMAS W.",4,2,6,1,0.666666687,1,IL,14,3,1,5,0,1,9/19/35,61,0.449999988,33972,0.518100083,0.897461534,0.796999991,0.21100001,0.66282028,0.445736438,0.427884609,0.200787395,0.661596954,0.678571403,0.460000008,0.289999992,0,0.059999999,0.189999998,0,100,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,1,17,CALIFOR,"FARR, SAM",1,0,1,1,1,1,CA,5,9,0,5,0,1,7/4/41,55,0.550000012,37401,0.490760863,0.694746435,0.745000005,0.230000004,0.845828474,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,100,6,85,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
1997-1998,105,1,2,PENNSYL,"FATTAH, CHAKA",2,1,3,1,0.666666687,1,PA,39,2,0,3,0,0,11/21/56,40,0.860000014,30193,0.559686124,0.346627772,0.691999972,0.218999997,0.999278724,0.423664123,0.419689119,0.172131151,0.475655437,0.673076928,0.479999989,0.270000011,0.01,0.059999999,0.180000007,88,5,80,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
1997-1998,105,2,13,ILLINOI,"FAWELL, HARRIS W.",1,2,3,1,0.333333343,1,IL,14,3,1,13,0,1,3/25/29,67,0.409999996,55481,0.511931419,0.916487455,0.889999986,0.349999994,0.957780063,0.445736438,0.427884609,0.200787395,0.661596954,0.678571403,0.460000008,0.289999992,0,0.059999999,0.189999998,38,45,35,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
1997-1998,105,1,3,CALIFOR,"FAZIO, VICTOR HERBERT",3,1,4,1,0.75,1,CA,5,9,0,19,0,1,10/11/42,54,0.449999988,35293,0.516672432,0.821869731,0.790000021,0.199000001,0.817793608,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,100,5,75,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1
1997-1998,105,1,50,CALIFOR,"FILNER, BOB",1,1,2,1,0.5,4,CA,5,9,0,5,0,1,9/4/42,54,0.600000024,30213,0.502829194,0.464985549,0.67900002,0.138999999,0.991111875,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,100,0,85,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,1,6,NEW YOR,"FLAKE, FLOYD H.",2,2,4,1,0.5,1,NY,33,2,0,11,0,0,1/30/45,51,0.850000024,40927,0.544313014,0.293055594,0.689999998,0.145999998,1,0.568807364,0.472647697,0.170923382,0.588550985,0.705128193,0.300000012,0.379999995,0,0.119999997,0.189999998,40,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1997-1998,105,1,1,PENNSYL,"FOGLIETTA, THOMAS M.",0,0,0,0,0,2,PA,39,2,0,17,0,1,12/3/28,68,0.829999983,24506,0.548750818,0.376631647,0.58099997,0.103999995,1,0.423664123,0.419689119,0.172131151,0.475655437,0.673076928,0.479999989,0.270000011,0.01,0.059999999,0.180000007,60,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1997-1998,105,2,16,FLORIDA,"FOLEY, MARK",0,0,0,0,0,2,FL,10,5,1,3,0,1,9/8/54,42,0.469999999,35025,0.523189604,0.930146337,0.779000044,0.184,0.781466961,0.392344505,0.393292695,0.274358988,0.61662817,0.595744669,0.479999989,0.25999999,0.01,0.07,0.180000007,13,55,45,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0
1997-1998,105,2,1,NEW YORK,"FORBES, MICHAEL P.",1,1,2,1,0.5,2,NY,33,2,1,3,0,1,7/16/52,44,0.50999999,50313,0.519095123,0.930188954,0.823000014,0.227999985,0.921378553,0.568807364,0.472647697,0.170923382,0.588550985,0.705128193,0.300000012,0.379999995,0,0.119999997,0.189999998,25,90,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
1997-1998,105,1,9,TENNESS,"FORD, HAROLD, JR.",0,0,0,0,0,1,TN,43,6,0,1,0,0,5/11/70,26,0.709999979,26590,0.550361991,0.396654129,0.694999993,0.172999993,0.997946441,0.32661289,0.35164836,0.247706428,0.634920657,0.506756783,0.75999999,0.059999999,0,0.029999999,0.140000001,100,6,75,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
1997-1998,105,2,4,FLORIDA,"FOWLER, TILLIE",2,0,2,1,1,1,FL,10,5,1,5,1,1,12/23/42,54,0.360000014,37168,0.513234496,0.913000107,0.824999988,0.233999997,0.870425463,0.392344505,0.393292695,0.274358988,0.61662817,0.595744669,0.479999989,0.25999999,0.01,0.07,0.180000007,13,70,25,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1997-1998,105,2,13,PENNSYL,"FOX, JON D.",0,0,0,0,0,4,PA,39,2,1,3,0,1,4/22/47,49,0.5,52778,0.530537486,0.909793854,0.845000029,0.335000008,0.923406601,0.423664123,0.419689119,0.172131151,0.475655437,0.673076928,0.479999989,0.270000011,0.01,0.059999999,0.180000007,25,85,30,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
1997-1998,105,1,4,MASSACH,"FRANK, BARNEY",0,0,0,0,0,4,MA,22,1,0,17,0,1,3/31/40,56,0.639999986,45875,0.536203623,0.930750787,0.774999976,0.308999985,0.726884663,0.588785052,0.406779647,0.170731708,0.671111107,0.765957475,0.239999995,0.439999998,0.01,0.079999998,0.230000004,100,0,85,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
1997-1998,105,2,7,NEW JER,"FRANKS, ROBERT",0,0,0,0,0,1,NJ,31,2,1,5,0,1,9/21/51,45,0.50999999,57563,0.522532403,0.836274385,0.826999962,0.324000001,0.959327579,0.555555582,0.377192974,0.164750963,0.572992682,0.70714283,0.310000002,0.370000005,0.02,0.090000004,0.200000003,25,35,35,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
1997-1998,105,2,11,NEW JER,"FRELINGHUYSEN, RODNEY",2,0,2,1,1,1,NJ,31,2,1,3,0,1,4/29/46,50,0.419999987,63574,0.516747832,0.922743559,0.873000026,0.374000013,0.870978594,0.555555582,0.377192974,0.164750963,0.572992682,0.70714283,0.310000002,0.370000005,0.02,0.090000004,0.200000003,38,30,40,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0
1997-1998,105,1,24,TEXAS,"FROST, JONAS MARTIN, III",3,0,3,1,1,4,TX,44,7,0,19,0,1,1/1/42,55,0.540000021,31612,0.510765433,0.643820286,0.686999977,0.153999999,0.910366535,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,88,5,90,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
1997-1998,105,1,1,OREGON,"FURSE, ELIZABETH",1,1,2,1,0.5,1,OR,38,9,0,5,1,1,10/13/36,60,0.5,40587,0.513454497,0.932340145,0.873000026,0.307999998,0.815496564,0.576271176,0.428571433,0.087719299,0.5,0.660000026,0.460000008,0.140000001,0.050000001,0.059999999,0.289999992,100,5,95,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,2,23,CALIFOR,"GALLEGLY, ELTON",1,3,4,1,0.25,1,CA,5,9,1,11,0,1,3/7/44,52,0.449999988,47019,0.49614796,0.768782258,0.770999968,0.204999998,0.945751667,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,0,90,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1997-1998,105,2,4,IOWA,"GANSKE, JOHN G.",2,1,3,1,0.666666687,2,IA,16,4,1,3,0,1,3/31/49,47,0.49000001,34018,0.532939017,0.952891886,0.824999988,0.188999996,0.743671596,0.375,0.319999993,0.179487184,0.522727251,0.652173936,0.519999981,0.230000004,0,0.059999999,0.180000007,13,80,30,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1
1997-1998,105,1,2,CONNECT,"GEJDENSON, SAMUEL",1,1,2,1,0.5,4,CT,7,1,0,17,0,1,5/20/48,48,0.529999971,44314,0.508056164,0.932747722,0.796999991,0.232000008,0.547949851,NA,NA,NA,NA,NA,0.419999987,0.319999993,0.02,0.059999999,0.180000007,100,5,95,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,2,17,PENNSYL,"GEKAS, GEORGE W.",0,0,0,0,0,2,PA,39,2,1,15,0,1,4/14/30,66,0.370000005,37251,0.526842892,0.912771165,0.754000008,0.162999988,0.608148217,0.423664123,0.419689119,0.172131151,0.475655437,0.673076928,0.479999989,0.270000011,0.01,0.059999999,0.180000007,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,1,3,MISSOUR,"GEPHARDT, RICHARD",2,1,3,1,0.666666687,1,MO,26,4,0,20,0,1,1/31/41,55,0.479999989,36896,0.533682823,0.963348508,0.731000006,0.172000006,0.840524614,0.436241597,0.267175585,0.234482765,0.609271526,0.646341443,0.560000002,0.189999998,0.02,0.02,0.209999993,88,24,85,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,2,2,NEVADA,"GIBBONS, JAMES A.",1,2,3,1,0.333333343,1,NV,29,8,1,1,0,1,12/16/44,52,0.389999986,37251,0.488133639,0.889949024,0.816999972,0.172999993,0.767492771,NA,NA,NA,NA,NA,0.409999996,0.239999995,0.090000004,0.039999999,0.219999999,25,84,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1997-1998,105,2,1,MARYLAN,"GILCHREST, WAYNE T.",1,2,3,1,0.333333343,1,MD,21,5,1,7,0,1,4/15/46,50,0.430000007,40440,0.513961136,0.834091246,0.746999979,0.199000001,0.541413188,0.559139788,0.40397352,0.17159763,0.628272235,0.742574275,0.5,0.219999999,0.029999999,0.07,0.180000007,50,35,50,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0
1997-1998,105,2,5,OHIO,"GILLMOR, PAUL E.",2,3,5,1,0.400000006,1,OH,36,3,1,9,0,1,2/1/39,57,0.419999987,34855,0.519060552,0.958628535,0.769999981,0.123999998,0.458590895,0.380597025,0.365079373,0.195744678,0.54411763,0.590062141,0.540000021,0.189999998,0.01,0.059999999,0.200000003,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,2,20,NEW YOR,"GILMAN, BENJAMIN",1,2,3,1,0.333333343,4,NY,33,2,1,25,0,1,12/6/22,74,0.540000021,53782,0.51944083,0.866321027,0.816999972,0.296000004,0.774555504,0.568807364,0.472647697,0.170923382,0.588550985,0.705128193,0.300000012,0.379999995,0,0.119999997,0.189999998,88,5,65,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0
1997-1998,105,2,6,GEORGIA,"GINGRICH, NEWTON LEROY",2,0,2,1,1,1,GA,11,5,1,19,0,1,6/17/43,53,0.330000013,55056,0.513513803,0.912298739,0.904999971,0.400000006,0.888364851,0.346153855,0.447272718,0.252427191,0.627027035,0.631578922,0.689999998,0.079999998,0.02,0.050000001,0.159999996,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,1,20,TEXAS,"GONZALEZ, HENRY B.",4,4,8,1,0.5,2,TX,44,7,0,36,0,0,5/3/16,80,0.600000024,25398,0.519958198,0.717608273,0.684000015,0.156000003,0.970422983,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,13,17,25,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
1997-1998,105,1,5,VIRGINI,"GOODE, VIRGIL H., JR.",1,0,1,1,1,1,VA,47,5,0,1,0,1,10/17/46,50,0.430000007,29727,0.5249843,0.743721843,0.606999993,0.133000001,0.326390624,0.467411548,0.33634311,0.28744939,0.542649746,0.604240298,0.610000014,0.140000001,0.01,0.059999999,0.170000002,38,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1997-1998,105,2,6,VIRGINI,"GOODLATTE, ROBERT W.",1,1,2,1,0.5,3,VA,47,5,1,5,0,1,9/22/52,44,0.409999996,32541,0.532012701,0.87561059,0.698000014,0.167000011,0.660153747,0.467411548,0.33634311,0.28744939,0.542649746,0.604240298,0.610000014,0.140000001,0.01,0.059999999,0.170000002,13,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1997-1998,105,2,19,PENNSYL,"GOODLING, WILLIAM",1,1,2,1,0.5,1,PA,39,2,1,23,0,1,12/5/27,69,0.519999981,37542,0.520083308,0.959024847,0.741999984,0.159999996,0.497740477,0.423664123,0.419689119,0.172131151,0.475655437,0.673076928,0.479999989,0.270000011,0.01,0.059999999,0.180000007,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,1,6,TENNESS,"GORDON, BART J.",0,0,0,0,0,1,TN,43,6,0,13,0,1,1/24/49,47,0.449999988,33945,0.518901408,0.933340371,0.681999981,0.172000006,0.460536152,0.32661289,0.35164836,0.247706428,0.634920657,0.506756783,0.75999999,0.059999999,0,0.029999999,0.140000001,75,42,50,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1
1997-1998,105,2,14,FLORIDA,"GOSS, PORTER J.",1,3,4,1,0.25,1,FL,10,5,1,9,0,1,11/26/38,58,0.379999995,33291,0.518528342,0.91926837,0.773999989,0.177000001,0.822258115,0.392344505,0.393292695,0.274358988,0.61662817,0.595744669,0.479999989,0.25999999,0.01,0.07,0.180000007,0,100,20,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
1997-1998,105,2,3,SOUTH C,"GRAHAM, LINDSEY",0,0,0,0,0,1,SC,41,5,1,3,0,1,7/9/55,41,0.389999986,31237,0.525932133,0.785957396,0.643000007,0.143999994,0.424194306,0.428571433,0,0,0.642857134,0.727272749,0.779999971,0.07,0.01,0.029999999,0.100000001,0,90,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1997-1998,105,2,12,TEXAS,"GRANGER, KAY",1,2,3,1,0.333333343,1,TX,44,7,1,1,1,1,1/18/43,53,0.460000008,31729,0.513827026,0.801274061,0.708999991,0.152999997,0.869811416,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,13,95,20,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1997-1998,105,1,29,TEXAS,"GREEN, GENE",1,1,2,1,0.5,1,TX,44,7,0,5,0,1,10/17/47,49,0.610000014,22230,0.487321675,0.540411174,0.460000008,0.064999998,1,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,100,5,90,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,2,8,PENNSYL,"GREENWOOD, JIM",2,2,4,1,0.5,1,PA,39,2,1,5,0,1,5/4/51,45,0.449999988,18998,0.51482147,0.950034201,0.831999958,0.251000017,0.818380415,0.423664123,0.419689119,0.172131151,0.475655437,0.673076928,0.479999989,0.270000011,0.01,0.059999999,0.180000007,38,5,45,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0
1997-1998,105,1,4,ILLINOI,"GUTIERREZ, LUIS V.",2,0,2,1,1,2,IL,14,3,0,5,0,0,12/10/53,43,0.800000012,25285,0.486895591,0.485956997,0.465000004,0.083999999,0.999356091,0.445736438,0.427884609,0.200787395,0.661596954,0.678571403,0.460000008,0.289999992,0,0.059999999,0.189999998,100,5,95,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,2,1,MINNESO,"GUTKNECHT, GILBERT",2,1,3,1,0.666666687,2,MN,24,4,1,3,0,1,3/20/51,45,0.479999989,34403,0.517722785,0.978425145,0.796999991,0.182999998,0.521442294,0.360544205,0.300813019,0.184668988,0.524590135,0.608974338,0.50999999,0.25,0.01,0.029999999,0.200000003,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,1,4,TEXAS,"HALL, RALPH M.",0,3,3,0,0,1,TX,44,7,0,17,0,1,5/3/23,73,0.349999994,32013,0.525507152,0.88347578,0.736999989,0.162999988,0.512227654,0.365517229,0.325174838,0.254992306,0.585333347,0.565217376,0.519999981,0.280000001,0.01,0.029999999,0.150000006,13,100,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1997-1998,105,1,3,OHIO,"HALL, TONY PATRICK",1,0,1,1,1,1,OH,36,3,0,19,0,1,1/16/42,54,0.5,36045,0.532254398,0.806901693,0.778000057,0.201000005,0.95408839,0.380597025,0.365079373,0.195744678,0.54411763,0.590062141,0.540000021,0.189999998,0.01,0.059999999,0.200000003,50,84,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
1997-1998,105,1,9,INDIANA,"HAMILTON, LEE H.",2,1,3,1,0.666666687,1,IN,15,3,0,33,0,1,4/20/31,65,0.439999998,31425,0.521450639,0.977423072,0.699000001,0.101999998,0.407472014,0.243401766,0.264084518,0.252365917,0.538461566,0.525714278,0.550000012,0.200000003,0.01,0.050000001,0.189999998,63,74,35,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
1997-1998,105,2,1,UTAH,"HANSEN, JAMES V.",2,3,5,1,0.400000006,3,UT,45,8,1,17,0,1,8/14/32,64,0.289999992,34232,0.510266542,0.943629146,0.856000006,0.204999998,0.84335506,0.456521749,0.5,0.151162788,0.380434781,0.733333349,0.119999997,0.059999999,0.569999993,0.039999999,0.209999993,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,1,36,CALIFOR,"HARMAN, JANE",2,2,4,1,0.5,4,CA,5,9,0,5,1,1,6/28/45,51,0.469999999,56567,0.501647115,0.777465165,0.866999984,0.368000001,0.999016821,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,100,6,80,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
