year,congress,party,district,statenam,name,ngirls,nboys,totchi,anygirls,propgirls,rgroup,statabb,statalph,region,repub,srvlng,female,white,bday,age,demvote,medinc,perf,perw,perhs,percol,perur,alabort,moreserv,moredef,morecrimesp,protgay,dr1per,dr2per,dr3per,dr4per,dr5per,aauw,rtl,nowtot,now1,now2,now3,now4,now5,now6,now7,now8,now9,now10,now11,now12,now13,now14,now15,now16,now17,now18,now19,now20
1997-1998,105,1,22,CALIFOR,"CAPPS, WALTER",2,1,3,1,0.666666687,1,CA,5,9,0,1,0,1,5/5/34,62,0.439999998,39631,0.495548338,0.816631794,0.81400001,0.252999991,0.885264397,0.567669153,0.378809869,0.231168836,0.634146333,0.672877848,0.330000013,0.319999993,0.02,0.079999998,0.25,100,58,75,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1
1997-1998,105,1,3,MARYLAN,"CARDIN, BENJAMIN L.",1,1,2,1,0.5,4,MD,21,5,0,11,0,1,10/5/43,53,0.579999983,41804,0.533801019,0.795174658,0.750999987,0.272000015,0.981409788,0.559139788,0.40397352,0.17159763,0.628272235,0.742574275,0.5,0.219999999,0.029999999,0.07,0.180000007,100,5,85,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1997-1998,105,1,10,INDIANA,"CARSON, JULIA M.",1,1,2,1,0.5,1,IN,15,3,0,1,1,0,7/8/38,58,0.540000021,29818,0.538775682,0.685726941,0.715999961,0.169,1,0.243401766,0.264084518,0.252365917,0.538461566,0.525714278,0.550000012,0.200000003,0.01,0.050000001,0.189999998,88,0,85,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
1997-1998,105,2,1,DELAWAR,"CASTLE, MICHAEL N.",0,0,0,0,0,2,DE,8,5,1,5,0,1,7/2/39,57,0.519999981,40252,0.523943603,0.803241849,0.774999976,0.214000002,1,NA,NA,NA,NA,NA,0.569999993,0.090000004,0,0.079999998,0.25999999,63,35,55,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0
1997-1998,105,2,1,OHIO,"CHABOT, STEVEN",1,1,2,1,0.5,2,OH,36,3,1,3,0,1,1/22/53,43,0.5,32697,0.543446839,0.685729563,0.721999943,0.187000006,0.987754405,0.380597025,0.365079373,0.195744678,0.54411763,0.590062141,0.540000021,0.189999998,0.01,0.059999999,0.200000003,0,100,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1997-1998,105,2,8,GEORGIA,"CHAMBLISS, C. SAXBY",1,1,2,1,0.5,1,GA,11,5,1,3,0,1,11/10/43,53,0.469999999,30397,0.526956558,0.77745831,0.678000033,0.144999996,0.48725608,0.346153855,0.447272718,0.252427191,0.627027035,0.631578922,0.689999998,0.079999998,0.02,0.050000001,0.159999996,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,105,2,1,IDAHO,"CHENOWETH, HELEN P.",1,1,2,1,0.5,1,ID,13,8,1,3,1,1,7/27/38,58,0.349999994,29226,0.510491252,0.949240804,0.788000047,0.167000011,0.542179823,NA,NA,NA,NA,NA,0.430000007,0.150000006,0.150000006,0.02,0.25,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1997-1998,105,2,2,NEBRASK,"CHRISTENSEN, JON LYNN",0,0,0,0,0,1,NE,28,4,1,3,0,1,2/20/63,33,0.379999995,37128,0.524302006,0.874568641,0.856000006,0.247999996,0.936965287,0.351351351,0.231884062,0.12328767,0.699999988,0.411764711,0.529999971,0.270000011,0.01,0.02,0.159999996,0,100,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1997-1998,105,1,1,MISSOUR,"CLAY, WILLIAM",2,1,3,1,0.666666687,2,MO,26,4,0,29,0,0,4/30/31,65,0.74000001,30858,0.555280149,0.462716758,0.70599997,0.194999993,0.992433369,0.436241597,0.267175585,0.234482765,0.609271526,0.646341443,0.560000002,0.189999998,0.02,0.02,0.209999993,100,6,85,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
1997-1998,105,1,1,NORTH C,"CLAYTON, EVA",1,3,4,1,0.25,1,NC,34,5,0,5,1,0,9/16/34,62,0.629999995,22065,0.550407887,0.416103363,0.578000009,0.093000002,0.419814467,0.270491809,0.445945948,0.20408164,0.75,0.662500024,0.689999998,0.100000001,0.01,0.050000001,0.150000006,100,5,85,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
